Data/Hora,RMS,Peak,Clipping,Clipping_pct,SNR,Diagnóstico,Participantes
2026-05-25 07:39:44,0.0001,0.0005,0,0.0000,-1.12,Muito baixo (Silêncio),Also invited 1; Sala Up
2026-05-25 07:39:46,0.0001,0.0007,0,0.0000,-1.48,Muito baixo (Silêncio),Also invited 1; Sala Up
2026-05-25 07:39:49,0.0001,0.0006,0,0.0000,-1.18,Muito baixo (Silêncio),Also invited 1; Sala Up
2026-05-25 07:39:51,0.0001,0.0006,0,0.0000,-0.97,Muito baixo (Silêncio),Also invited 1; Sala Up
2026-05-25 07:39:53,0.0001,0.0006,0,0.0000,-1.17,Muito baixo (Silêncio),Also invited 1; Sala Up
2026-05-25 07:39:56,0.0001,0.0006,0,0.0000,-1.48,Muito baixo (Silêncio),Also invited 1; Sala Up
2026-05-25 07:39:58,0.0001,0.0005,0,0.0000,-1.35,Muito baixo (Silêncio),Also invited 1; Sala Up
2026-05-25 07:40:00,0.0001,0.0005,0,0.0000,-1.70,Muito baixo (Silêncio),Also invited 1; Sala Up
2026-05-25 07:40:03,0.0001,0.0005,0,0.0000,-1.26,Muito baixo (Silêncio),Also invited 1; Sala Up
2026-05-25 07:40:05,0.0001,0.0006,0,0.0000,-1.42,Muito baixo (Silêncio),Also invited 1; Sala Up
2026-05-25 07:40:08,0.0001,0.0005,0,0.0000,-1.52,Muito baixo (Silêncio),Also invited 1; Sala Up
2026-05-25 07:40:10,0.0001,0.0005,0,0.0000,-1.61,Muito baixo (Silêncio),Also invited 1; Sala Up
2026-05-25 07:40:12,0.0001,0.0005,0,0.0000,-2.02,Muito baixo (Silêncio),Also invited 1; Sala Up
2026-05-25 07:40:15,0.0001,0.0006,0,0.0000,-1.89,Muito baixo (Silêncio),Also invited 1; Sala Up
2026-05-25 07:40:17,0.0001,0.0005,0,0.0000,-1.74,Muito baixo (Silêncio),Also invited 1; Sala Up
2026-05-25 07:40:19,0.0001,0.0005,0,0.0000,-1.36,Muito baixo (Silêncio),Also invited 1; Sala Up
